-32414,20641,4991,67481,-380,-21888,10230,29224,29429,-10917,43439,11429,-572,-1958,-19260,26352,31185,-45495,34865,-18174,-15536,35191,5232,30239,-9533,50372,-1947,-31989,21871,20888,15877,12211,-57552,42627,24633,21784,2323,5335,-10391,3537,-25449,41106,49403,49606,-18858,-42971,-10603,-33056,-32579,9584,-18740,11399,-14157,28562,5648,682,20899,-21461,-42845,46767,24750,24931,105982,891,-48783,37356,-36876,-43476,-6050,625,-16875,17651,10740,-53168,-33965,-4935,14395,19910,-29358,29030,17112,13259,-35768,4167,63107,22206,18021,-27489,68028,-35530,-25277,58006,22965,8734,-20331,-72208,34363,14558,9419,-3747
13595,19842,-39861,47025,24125,-23254,64826,-34253,-36196,-60269,21265,-2671,-11084,-19074,-20994,-30253,9596,2481,-38870,-3627,34211,-22819,-84472,22123,35187,530,-25955,4193,33924,-55161,-909,16328,-18264,33738,-354,29286,37917,-21357,-40672,-19527,7556,-21484,2576,29382,19813,-81075,47711,6109,-7564,529,17813,-13189,-71226,-32171,15455,8933,-78713,31805,39426,42302,-40570,-28365,-16621,53938,22260,-25291,30918,-36391,-11933,-22028,30045,-3539,-1357,21009,237,53925,-26760,-4700,28524,-29370,-11709,-23225,-7760,-2666,4299,6789,-1295,1602,-5805,33360,-1568,31701,58521,6465,-35780,-39828,-49991,35375,-19057,31244
2351,-43945,40114,-22649,56420,-72359,-48313,22600,-54924,3034,11858,41512,-5766,8987,-3218,-31095,35472,6308,-38595,-44597,17131,-39679,-27757,52704,61477,53795,-62392,2882,-18998,16848,8882,-11207,-22841,21769,57698,-23442,-46102,48279,-10738,1742,17392,7800,19643,-20933,7080,-8101,2142,-62582,27661,-9349,-22111,-19890,-32939,-52599,-30940,-22656,-28349,-6328,-24187,49935,14081,11673,40297,15789,-12624,-28073,12014,-17795,-14770,-5888,23944,-42850,43147,-20636,-5631,40835,-32553,61913,30301,29315,17894,32663,-39892,47386,-3869,51629,47698,1642,-19734,-43147,-77865,57521,-6892,24274,-18650,-53150,-31359,3176,-13366,246
-21343,-18018,36938,-14896,-34330,44194,17004,21380,-10559,-57668,22415,7656,-15426,-5268,-60671,11365,-47166,-16600,20711,26607,40731,-3749,26801,16770,-7172,31729,45318,-25449,7268,-8359,-31295,8543,-56069,-2352,-44003,-23338,-19983,-3118,-49961,-17406,54963,8320,-15134,3213,-3200,-60713,33930,-2092,20015,45112,22481,31360,-26551,-33598,-27051,11570,-26795,46592,-28522,30846,3118,-29555,19239,4105,9349,12943,-27390,-27135,-28717,62727,58321,-21280,-43243,37909,4264,28437,37447,-51188,-24559,-33795,-17197,-26474,-35607,-3285,-34170,21323,84,18502,10152,-32099,-26928,-10853,16958,-18793,-36935,-5524,1017,12882,-30981,78346
23703,21703,-30149,10607,55671,9019,-42770,22201,-44836,29846,951,64792,32349,-116472,-52519,-16164,-10452,35064,-23999,-21462,-1713,-28627,-10566,23066,-11214,-8926,-684,-38027,-1195,6250,70156,27066,24560,10857,33224,-35194,-1337,-39941,37094,60806,948,-3325,32947,53304,24306,54055,-63662,33170,-805,22863,36749,-50086,-3769,-40068,-63028,19443,6909,33895,-18531,-32383,-17891,47558,-14920,-43037,-54968,-22179,-15196,-54173,5410,-48198,52700,-13589,-50209,3977,40810,22226,-35035,-21960,-578,-20476,39185,17990,64394,-19431,-47944,-66856,-15525,1867,-19593,9071,15490,42729,-3747,-57029,33422,-11136,-15808,-32881,40781,-33220
23897,5940,-13076,-32640,-1932,-37677,-46195,4809,-21220,-29325,-1109,-47178,46045,44225,-30547,-5559,-50603,-19253,-18140,-47578,22420,-31976,-13989,46565,-5915,-30394,-40161,-27364,-62632,2657,-6802,-48997,-27570,45649,-27748,23414,19849,-15749,40875,20671,-15466,43660,21731,20453,23676,78699,3947,35840,6301,13159,-17238,-8286,16254,7736,20894,-53982,31366,-41972,-6725,-46829,17877,1543,-10408,19217,-43342,38588,643,11889,15136,10476,-61188,36523,-19678,-8794,28746,30264,43490,71131,26991,-7574,-19870,8745,30543,-25815,-32767,486,109,15192,-9773,7919,-17673,-14000,36485,-8446,26437,-11470,28405,4618,-45740,-9159
26195,23875,22507,964,-69034,11854,6212,3962,43553,3726,-12777,-45892,-18866,62385,12246,3489,-12619,-11971,-6404,23081,-19204,-12024,-19943,68271,-9068,23280,30357,-63772,23229,11332,-19576,-23913,15030,-6245,-5815,45915,-46146,59638,24168,16940,32395,11967,-2432,57384,28403,-3377,-39016,8258,31900,-10908,-13673,-4419,-20730,51804,39386,-40277,79302,-93329,-3570,-19846,-12242,-8111,20269,-18839,5838,15602,-24928,-10994,78732,29976,-55964,26583,33364,-35876,4010,-43634,19650,31252,-42474,-29429,33493,-57040,-6757,-4338,46036,-61906,-54989,-26475,-52258,-16996,8529,-53762,1555,43074,-17406,48840,35376,31123,-49188,7972
17019,-66146,-46431,-17001,-20470,20004,11890,51257,-28563,6000,65756,43454,-50579,-34852,8503,-49497,44902,-28722,-4546,-40519,8026,-36732,-23685,-6162,-28837,2254,-27491,6276,12942,-38084,1298,38565,-48476,55024,45421,22194,18764,50247,21408,17876,-4814,-19917,52290,1548,-16046,-33740,59455,14431,12902,-15102,-6307,47363,-8506,44347,19663,-7811,63514,-50086,-21526,-4877,70400,32426,-47898,33253,-11534,55943,942,8591,18436,29965,4639,-7042,-14881,39039,-9015,-25779,-13647,8231,-24275,-27073,-34293,-28743,-70611,-20883,-6738,41622,-16988,-56675,15080,28455,-74229,-1241,-33833,-47352,-76358,13805,-25923,64154,-22011,11958
-25376,-7819,-18707,-12294,-27742,17994,-3901,27544,-21125,41328,33790,-44311,37819,-1621,-79009,13947,-10101,63156,-5959,-25212,-8183,-6334,-12446,-21286,49804,-28765,-16794,1965,-24120,55500,18781,-72420,-25209,55977,-32401,9258,-2643,21774,25138,-26321,17535,11637,-14232,22120,33604,-4743,1111,12408,-9709,81431,36771,15222,-55497,9822,25646,-40704,-36545,39566,15906,17508,16383,-12053,-24136,9354,-13801,-45172,26597,-20400,3862,-1357,-19079,-3080,-54549,-63014,-127909,-19912,61373,-5196,-29481,10833,9525,-3239,-75,-8154,-34568,-65650,25872,55636,-40046,18388,35379,-25636,-7326,-41190,-12801,24935,7361,-14925,15682,-12541
-15322,-41738,51986,6218,74892,-58206,31686,-67704,-1949,-17917,27904,-94930,-32625,43037,2963,12698,-28580,-9483,-4183,-45787,76811,-14558,52838,-10349,-38234,35935,-32029,-5153,-10298,-18985,-4982,-53591,-7995,-9361,66647,20146,18437,-17820,-16632,-36698,-102132,-17312,-820,34734,-57727,-3187,14648,-38173,-26903,20604,-29946,24528,4329,-4181,39743,12974,53306,-22852,27066,56280,-15314,-3878,2877,-15434,42228,-19933,-17427,72948,-53787,-28600,4447,-15052,-26311,28467,-5626,58633,-25670,48452,-48582,90763,-22624,-11262,44877,26549,38380,-10286,-30832,-28710,-6376,51893,-35213,14986,31189,32629,7213,-26996,-50108,-24762,-15262,54234
